votereg,CC20_410,employ,immstat,dualcit,gender,birthyr,race,inputstate,presvote16post,religpew,edloan
1,2,6,4,2,1,1966,1,9,2,2,1
2,NA,5,5,2,2,1955,1,12,7,1,2
1,1,5,3,2,2,1946,1,19,7,1,2
1,1,6,5,2,2,1962,1,25,1,2,1
1,4,2,5,2,1,1967,1,17,3,5,2
1,2,1,5,2,1,1961,1,39,2,1,2
2,NA,5,5,2,1,1950,2,51,7,11,1
1,2,5,4,2,2,1947,1,46,2,1,2
1,2,1,5,2,2,1970,1,39,2,1,2
1,1,4,4,2,2,1963,1,36,1,11,2
1,1,2,5,2,2,1966,1,51,1,11,2
1,1,1,5,2,2,1961,1,48,1,1,1
1,1,1,5,2,1,1959,1,18,1,1,2
1,1,1,5,2,2,1959,1,6,1,11,2
1,2,1,4,2,1,1960,1,26,2,1,2
1,2,2,5,2,1,1961,1,13,7,1,2
1,2,1,5,2,2,1950,1,5,2,1,2
1,1,5,5,2,1,1946,2,17,1,1,2
1,1,1,5,2,2,1963,2,22,1,2,1
1,1,1,5,2,1,1984,1,25,6,5,2
1,1,2,5,2,2,1984,1,53,7,10,1
1,2,4,5,2,2,1972,2,13,7,11,2
1,1,5,5,2,2,1948,1,4,7,9,2
1,1,5,4,2,2,1950,1,20,1,5,1
1,1,5,5,2,2,1934,1,6,1,2,2
2,NA,8,4,2,2,1971,1,6,7,2,NA
1,NA,2,5,2,2,1957,1,6,2,2,1
1,1,7,5,2,2,1978,1,9,1,2,2
1,2,2,5,2,2,1964,1,53,2,11,2
2,NA,1,5,2,1,1946,1,39,7,12,1
1,2,5,5,2,1,1948,1,29,2,1,2
1,1,2,3,2,1,1954,1,29,2,2,2
2,NA,4,5,2,2,1987,1,21,7,11,1
1,1,4,4,2,2,1963,1,12,1,2,2
1,2,5,4,2,1,1946,1,25,2,2,2
1,2,5,5,2,2,1950,1,53,2,1,2
2,NA,4,NA,2,2,1981,1,19,7,1,1
1,1,1,5,2,2,1971,1,39,1,9,2
1,2,1,4,2,1,1959,1,33,2,10,2
1,1,7,5,2,2,1965,2,1,1,11,2
1,2,1,4,2,1,1963,1,36,2,1,2
1,1,5,5,2,2,1953,1,18,1,9,2
1,2,1,5,2,2,1987,1,45,2,1,2
1,4,5,5,2,2,1953,1,17,2,2,2
1,2,5,5,2,1,1948,1,51,2,1,2
1,4,1,5,2,2,1973,7,29,6,12,2
1,1,5,5,2,2,1951,1,8,1,12,1
1,1,1,5,2,2,1959,1,5,1,1,2
1,1,5,5,2,2,1953,1,4,1,1,2
1,1,1,5,2,2,1958,1,48,1,1,2
1,2,5,5,2,2,1954,1,12,2,2,2
1,4,1,5,2,1,1967,1,49,3,3,2
1,2,5,4,2,1,1945,1,12,2,2,2
1,1,7,4,2,2,1956,1,39,1,1,2
1,2,2,5,2,1,1970,1,48,2,1,2
1,NA,1,5,2,1,1985,1,17,5,2,NA
1,1,1,5,2,2,1967,1,48,1,1,2
1,2,1,5,2,2,1986,1,53,7,11,2
1,NA,8,5,2,2,1993,3,55,7,11,NA
1,1,1,4,2,1,1951,1,24,1,1,2
1,2,3,1,2,1,1971,3,6,7,1,2
2,NA,2,5,2,2,1968,1,37,7,1,2
1,NA,2,3,1,2,1983,1,6,7,11,1
1,1,4,5,2,2,1954,1,48,7,12,2
1,1,5,5,2,2,1958,1,48,7,1,2
1,1,3,5,1,2,1959,3,26,1,2,2
1,2,9,4,2,2,1963,1,48,2,11,2
1,1,5,5,2,2,1943,1,6,1,10,2
1,2,1,5,2,1,1966,6,13,2,1,2
1,NA,1,5,2,1,1986,1,53,2,1,NA
1,4,7,5,2,1,1986,1,25,1,12,2
1,1,1,5,2,1,1994,1,8,4,9,1
1,2,1,5,2,1,1966,1,1,2,1,2
1,1,1,5,2,2,1996,1,49,1,3,2
1,2,2,4,2,2,1963,1,26,2,2,2
1,2,1,5,2,2,1955,1,36,2,2,2
1,2,1,5,2,2,1978,1,37,2,2,2
1,1,5,5,2,2,1950,1,17,1,11,2
1,2,6,1,2,2,1965,1,37,2,12,2
1,2,1,5,2,2,1958,1,27,2,1,2
1,1,1,1,1,1,1955,3,12,1,9,1
1,NA,1,4,2,1,1988,1,36,7,10,NA
1,NA,1,5,2,1,1990,1,26,2,2,NA
