voted_for,votereg,immstat,gender,birthyr,presvote16post
Trump,1,parent and I born in US but grandparent(s) immigrant,Male,1966,Hillary Clinton
Biden,1,"born in US, but parent(s) immigrant",Female,1946,Did not vote
Biden,1,all born in US,Female,1962,Donald Trump
Trump,1,all born in US,Male,1961,Hillary Clinton
Trump,1,parent and I born in US but grandparent(s) immigrant,Female,1947,Hillary Clinton
Trump,1,all born in US,Female,1970,Hillary Clinton
Biden,1,parent and I born in US but grandparent(s) immigrant,Female,1963,Donald Trump
Biden,1,all born in US,Female,1966,Donald Trump
Biden,1,all born in US,Female,1961,Donald Trump
Biden,1,all born in US,Male,1959,Donald Trump
Biden,1,all born in US,Female,1959,Donald Trump
Trump,1,parent and I born in US but grandparent(s) immigrant,Male,1960,Hillary Clinton
Trump,1,all born in US,Male,1961,Did not vote
Trump,1,all born in US,Female,1950,Hillary Clinton
Biden,1,all born in US,Male,1946,Donald Trump
Biden,1,all born in US,Female,1963,Donald Trump
Biden,1,all born in US,Male,1984,Other
Biden,1,all born in US,Female,1984,Did not vote
Trump,1,all born in US,Female,1972,Did not vote
Biden,1,all born in US,Female,1948,Did not vote
Biden,1,parent and I born in US but grandparent(s) immigrant,Female,1950,Donald Trump
Biden,1,all born in US,Female,1934,Donald Trump
Biden,1,all born in US,Female,1978,Donald Trump
Trump,1,all born in US,Female,1964,Hillary Clinton
Trump,1,all born in US,Male,1948,Hillary Clinton
Biden,1,"born in US, but parent(s) immigrant",Male,1954,Hillary Clinton
Biden,1,parent and I born in US but grandparent(s) immigrant,Female,1963,Donald Trump
Trump,1,parent and I born in US but grandparent(s) immigrant,Male,1946,Hillary Clinton
Trump,1,all born in US,Female,1950,Hillary Clinton
Biden,1,all born in US,Female,1971,Donald Trump
Trump,1,parent and I born in US but grandparent(s) immigrant,Male,1959,Hillary Clinton
Biden,1,all born in US,Female,1965,Donald Trump
Trump,1,parent and I born in US but grandparent(s) immigrant,Male,1963,Hillary Clinton
Biden,1,all born in US,Female,1953,Donald Trump
Trump,1,all born in US,Female,1987,Hillary Clinton
Trump,1,all born in US,Male,1948,Hillary Clinton
Biden,1,all born in US,Female,1951,Donald Trump
Biden,1,all born in US,Female,1959,Donald Trump
Biden,1,all born in US,Female,1953,Donald Trump
Biden,1,all born in US,Female,1958,Donald Trump
Trump,1,all born in US,Female,1954,Hillary Clinton
Trump,1,parent and I born in US but grandparent(s) immigrant,Male,1945,Hillary Clinton
Biden,1,parent and I born in US but grandparent(s) immigrant,Female,1956,Donald Trump
Trump,1,all born in US,Male,1970,Hillary Clinton
Biden,1,all born in US,Female,1967,Donald Trump
Trump,1,all born in US,Female,1986,Did not vote
Biden,1,parent and I born in US but grandparent(s) immigrant,Male,1951,Donald Trump
Trump,1,immigrant and citizen,Male,1971,Did not vote
Biden,1,all born in US,Female,1954,Did not vote
Biden,1,all born in US,Female,1958,Did not vote
Biden,1,all born in US,Female,1959,Donald Trump
Trump,1,parent and I born in US but grandparent(s) immigrant,Female,1963,Hillary Clinton
Biden,1,all born in US,Female,1943,Donald Trump
Trump,1,all born in US,Male,1966,Hillary Clinton
Biden,1,all born in US,Male,1994,Jill Stein
Trump,1,all born in US,Male,1966,Hillary Clinton
Biden,1,all born in US,Female,1996,Donald Trump
Trump,1,parent and I born in US but grandparent(s) immigrant,Female,1963,Hillary Clinton
Trump,1,all born in US,Female,1955,Hillary Clinton
Trump,1,all born in US,Female,1978,Hillary Clinton
Biden,1,all born in US,Female,1950,Donald Trump
Trump,1,immigrant and citizen,Female,1965,Hillary Clinton
Trump,1,all born in US,Female,1958,Hillary Clinton
Biden,1,immigrant and citizen,Male,1955,Donald Trump
Trump,1,parent and I born in US but grandparent(s) immigrant,Female,1952,Hillary Clinton
Biden,1,parent and I born in US but grandparent(s) immigrant,Male,1958,Did not vote
Biden,1,parent and I born in US but grandparent(s) immigrant,Female,1947,Donald Trump
Biden,1,all born in US,Male,1964,Donald Trump
Trump,1,parent and I born in US but grandparent(s) immigrant,Male,1953,Hillary Clinton
Trump,1,all born in US,Female,1948,Hillary Clinton
Trump,1,all born in US,Female,1961,Did not vote
Biden,1,all born in US,Female,1941,Donald Trump
Trump,1,all born in US,Male,1964,Did not vote
Biden,1,"born in US, but parent(s) immigrant",Male,1993,Donald Trump
Biden,1,"born in US, but parent(s) immigrant",Female,1950,Donald Trump
Biden,1,all born in US,Female,1966,Donald Trump
Trump,1,parent and I born in US but grandparent(s) immigrant,Female,1965,Hillary Clinton
Trump,1,"born in US, but parent(s) immigrant",Female,1993,Did not vote
Biden,1,all born in US,Female,1945,Donald Trump
Trump,1,all born in US,Female,1957,Did not vote
Biden,1,all born in US,Female,1957,Did not vote
Trump,1,all born in US,Female,1938,Hillary Clinton
Trump,1,parent and I born in US but grandparent(s) immigrant,Male,1956,Hillary Clinton
Biden,1,all born in US,Male,1964,Donald Trump
Biden,1,"born in US, but parent(s) immigrant",Female,1950,Donald Trump
Trump,1,parent and I born in US but grandparent(s) immigrant,Male,1958,Hillary Clinton
Biden,1,all born in US,Female,1957,Donald Trump
Biden,1,immigrant and citizen,Male,1986,Donald Trump
Trump,1,"born in US, but parent(s) immigrant",Male,1948,Hillary Clinton
Trump,1,all born in US,Male,1982,Hillary Clinton
Trump,1,all born in US,Male,1958,Hillary Clinton
Biden,1,parent and I born in US but grandparent(s) immigrant,Male,1951,Donald Trump
Biden,1,all born in US,Female,1964,Donald Trump
Biden,1,all born in US,Female,1954,Donald Trump
Trump,1,all born in US,Male,1971,Hillary Clinton
Biden,1,all born in US,Female,1989,Donald Trump
Trump,1,all born in US,Female,1960,Did not vote
Biden,1,parent and I born in US but grandparent(s) immigrant,Female,1960,Donald Trump
Trump,1,all born in US,Female,1965,Hillary Clinton
Biden,1,parent and I born in US but grandparent(s) immigrant,Female,1958,Donald Trump
Biden,1,all born in US,Female,1987,Did not vote
Trump,1,all born in US,Male,1957,Hillary Clinton
Biden,1,all born in US,Female,1965,Donald Trump
Biden,1,all born in US,Male,1961,Donald Trump
Biden,1,"born in US, but parent(s) immigrant",Female,1946,Donald Trump
Biden,1,all born in US,Male,1941,Donald Trump
Trump,1,immigrant and citizen,Female,1940,Hillary Clinton
Biden,1,parent and I born in US but grandparent(s) immigrant,Male,1951,Hillary Clinton
Trump,1,all born in US,Female,1953,Hillary Clinton
Biden,1,all born in US,Male,1985,Donald Trump
Trump,1,all born in US,Female,1957,Hillary Clinton
Biden,1,all born in US,Male,1964,Donald Trump
Trump,1,parent and I born in US but grandparent(s) immigrant,Female,1958,Hillary Clinton
Biden,1,parent and I born in US but grandparent(s) immigrant,Female,1957,Donald Trump
Trump,1,"born in US, but parent(s) immigrant",Female,1954,Hillary Clinton
Trump,1,all born in US,Male,1990,Donald Trump
Biden,1,parent and I born in US but grandparent(s) immigrant,Male,1941,Donald Trump
Biden,1,parent and I born in US but grandparent(s) immigrant,Male,1954,Donald Trump
Trump,1,parent and I born in US but grandparent(s) immigrant,Male,1953,Hillary Clinton
Trump,1,all born in US,Male,1948,Hillary Clinton
Biden,1,all born in US,Male,1948,Donald Trump
Biden,1,"born in US, but parent(s) immigrant",Female,1966,Donald Trump
Biden,1,parent and I born in US but grandparent(s) immigrant,Female,1946,Donald Trump
Trump,1,all born in US,Male,1954,Hillary Clinton
Trump,1,parent and I born in US but grandparent(s) immigrant,Male,1979,Other
Biden,1,all born in US,Female,1944,Hillary Clinton
Biden,1,all born in US,Female,1960,Hillary Clinton
Biden,1,all born in US,Female,1959,Donald Trump
Trump,1,all born in US,Female,1944,Hillary Clinton
Biden,1,parent and I born in US but grandparent(s) immigrant,Male,1948,Donald Trump
Biden,1,parent and I born in US but grandparent(s) immigrant,Female,1947,Donald Trump
Trump,1,all born in US,Female,1952,Donald Trump
Biden,1,immigrant and citizen,Female,1986,Donald Trump
Biden,1,all born in US,Male,1951,Donald Trump
Trump,1,immigrant and citizen,Female,1936,Hillary Clinton
Trump,1,all born in US,Female,1964,Gary Johnson
Biden,1,parent and I born in US but grandparent(s) immigrant,Male,1946,Donald Trump
Trump,1,all born in US,Male,1947,Hillary Clinton
Biden,1,all born in US,Female,1945,Donald Trump
Biden,1,immigrant and citizen,Male,1950,Did not vote
